"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"Taok3"	6.7078730886775	0.0196249066868287	0.167360950850692	0.70627992666377	0.999629461123645
"Tmem261"	79.6767608641052	-0.532041928832744	0.190281107784034	0.000411190994128043	0.0225782928223701
"Pde6d"	113.936118886349	-0.00384234199617131	0.11084950680012	0.963496048402955	0.999629461123645
"Tenm2"	1.31347817203171	-0.0095614024022538	0.173350351225243	0.684829926033989	0.999629461123645
"Osmr"	44.0282737547763	0.359022715110068	0.293704321191314	0.0177521120407516	0.418294911872856
"Stx18"	121.726917726031	0.0107895668878424	0.112085852181415	0.901148556578226	0.999629461123645
"Cul1"	69.2181429249042	-0.00520188853323941	0.12375016380591	0.951116282068599	0.999629461123645
"Spcs3"	81.8502928132919	-0.185938329492363	0.152440193137775	0.0760513170820411	0.852153954561929
"E2f4"	16.1537673129608	0.00126190245691006	0.156270045469904	0.986778314713967	0.999629461123645
"2410006H16Rik"	5.3756804738895	0.0150574837869289	0.168832632052863	0.744173405574688	0.999629461123645
"Dus4l"	2.835919483561	-0.0147015139772015	0.172205571937121	0.653189727125104	0.999629461123645
"Rap2a"	9.80037512769106	0.0159239524243123	0.16347456477708	0.789839361345757	0.999629461123645
"Gab2"	5.2302149115255	-0.00801632488821985	0.167916844914779	0.862660261921137	0.999629461123645
"Rtn2"	1.33962460402391	-0.00899092404047645	0.173037561278143	0.721920563663738	0.999629461123645
"Ssh3"	3.31041776836715	0.00429140033866902	0.170329653799893	0.909920188864689	0.999629461123645
"AA414768"	3.11602149601817	-0.0349329916277429	0.175433993884759	0.349265185082368	0.999629461123645
"E2f1"	45.7605121399395	-0.191289458805291	0.199249665675719	0.0831523509446449	0.885912009405853
"Ccar1"	21.0989735586971	-0.125559423419564	0.200979315072409	0.146968397420934	0.999629461123645
"Wdr59"	5.91489197482387	-0.0796365058031294	0.19247796092398	0.127313142274066	0.988370216865681
"Ap1m1"	138.590409002651	-0.0498254520826339	0.110549187739195	0.562875085431677	0.999629461123645
"Zfp963"	3.24726910907169	-0.0421182053376178	0.177419127029287	0.277130660118011	0.999629461123645
"1700029J07Rik"	5.65258642420178	0.0412229018608337	0.173650203071078	0.405174409860235	0.999629461123645
"Gm10336"	1.56324785636565	0.000527348759898348	0.172441620127426	0.985008612889619	0.999629461123645
"Ube2i"	9.6141414885767	-0.00113443263125772	0.162773934976396	0.983340318710582	0.999629461123645
"Lgals3bp"	682.205494151598	0.436166926229426	0.135789972311837	0.000154805115272294	0.00939280036914641
"Ackr4"	1.32716141524806	-0.00864866163716931	0.173148208331471	0.722895025639072	0.999629461123645
"Mrpl16"	57.000266973578	-0.067342646346042	0.137181657126073	0.455336644702356	0.999629461123645
"Ap1g1"	31.9253291546926	0.0843992147064313	0.161314051009752	0.335878255767487	0.999629461123645
"Gcnt2"	16.7803204993918	0.00814965754460233	0.156770052595511	0.907551487682167	0.999629461123645
"Arhgef9"	2.49775399568743	-0.0543148221676656	0.183513633054774	0.12315426305671	0.983800905648825
"Gbp5"	3.0023323060843	5.05845232196422	2.45325397877675	8.04470511119585e-05	0.00533456265160446
"Ippk"	20.9632341201512	-0.0809325868444934	0.171141303431449	0.312570842403205	0.999629461123645
"Aire"	2.25246102516532	0.0191753393484577	0.173114533129586	0.546912351269414	0.999629461123645
"Pbx3"	5.5441981762805	0.0457998527043106	0.17562416427572	0.346359918178767	0.999629461123645
"Pomgnt2"	44.4684989425786	-0.0461774512307778	0.140826093937812	0.594246331978539	0.999629461123645
"Kmt2a"	9.15197103797487	-0.00333108995800913	0.163454762004083	0.951663101606617	0.999629461123645
"Cdk5rap2"	5.30064306461739	0.0606596708879231	0.182300809067324	0.214120189148225	0.999629461123645
"Nup107"	7.56724137770172	-0.0739279174287626	0.185754052184957	0.199026059382335	0.999629461123645
"Pnrc1"	70.5018210016014	0.179264834115262	0.169821894499788	0.0931634401403207	0.92802569946135
"Bod1l"	13.5927115828923	0.0951752443187461	0.190895007977052	0.185438043370089	0.999629461123645
"Ogdh"	181.600711106621	-0.141772870269932	0.114645078023218	0.116441391117514	0.977744269042584
"Clk1"	14.1458407314763	-0.00860994852482842	0.158339923265165	0.895969018677468	0.999629461123645
